Nombre,Ciudad,Ingreso,Edad,Genero,Nivel educativo,Pobreza,Subsidio
Juan,Bilbao,1992,67,F,Licenciatura,0,0
Jose,Palma de Mallorca,1029,52,M,Bachillerato,1,1
Laura,Las Palmas,1786,52,M,Licenciatura,1,1
Luis,Sevilla,3207,38,F,Bachillerato,1,1
Juan,Sevilla,1421,28,M,Licenciatura,1,0
Elena,Granada,1706,36,M,Maestría,0,0
Juan,Madrid,3614,48,M,Licenciatura,0,1
Juan,Valencia,2673,41,F,Doctorado,1,0
Pedro,Sevilla,2319,49,M,Licenciatura,0,1
Maria,Barcelona,1437,38,M,Bachillerato,0,1
Luis,Palma de Mallorca,1886,39,F,Bachillerato,1,1
Elena,Bilbao,2308,45,M,Bachillerato,1,0
Laura,Málaga,2518,53,F,Doctorado,1,0
Juan,Barcelona,2393,19,F,Licenciatura,1,1
Elena,Granada,1281,35,M,Maestría,1,0
Maria,Madrid,1302,68,M,Licenciatura,1,0
Ana,Málaga,4551,30,F,Maestría,1,0
Laura,Palma de Mallorca,4619,41,M,Bachillerato,1,0
Carlos,Valencia,1299,18,F,Doctorado,0,1
Diego,Zaragoza,1407,63,M,Bachillerato,1,1
Laura,Sevilla,4308,63,M,Licenciatura,0,0
Pedro,Palma de Mallorca,3136,59,F,Licenciatura,0,0
Pedro,Las Palmas,1679,26,F,Doctorado,0,1
Carlos,Palma de Mallorca,2444,50,M,Doctorado,0,0
Ana,Málaga,2065,56,F,Maestría,0,1
Maria,Barcelona,3760,50,M,Maestría,0,1
Ana,Zaragoza,2040,69,F,Doctorado,0,0
Carlos,Málaga,1610,45,F,Doctorado,0,0
Juan,Sevilla,4226,49,F,Maestría,1,0
Juan,Palma de Mallorca,1074,23,M,Licenciatura,0,1
Juan,Sevilla,2691,19,F,Maestría,1,0
Carlos,Las Palmas,2590,34,F,Licenciatura,0,1
Maria,Barcelona,4148,58,F,Licenciatura,1,1
Juan,Valencia,2771,36,F,Bachillerato,1,1
Laura,Málaga,2103,50,F,Doctorado,0,1
Pedro,Valencia,1002,24,F,Licenciatura,0,0
Laura,Zaragoza,3507,51,M,Licenciatura,0,1
Laura,Zaragoza,2620,54,F,Doctorado,1,1
Maria,Bilbao,4136,48,M,Doctorado,0,0
Juan,Bilbao,3085,25,M,Licenciatura,0,1
Jose,Zaragoza,2624,35,F,Licenciatura,1,0
Laura,Málaga,2334,53,M,Licenciatura,1,0
Luis,Valencia,1246,27,M,Doctorado,0,1
Laura,Barcelona,3098,67,F,Doctorado,0,0
Jose,Zaragoza,3837,57,M,Doctorado,0,0
Diego,Barcelona,1085,65,M,Maestría,1,0
Ana,Palma de Mallorca,1771,29,F,Bachillerato,0,0
Carlos,Madrid,4538,46,M,Licenciatura,0,0
Jose,Las Palmas,3467,56,F,Doctorado,1,1
Jose,Málaga,1415,48,M,Maestría,0,0
Carlos,Valencia,4264,52,M,Bachillerato,0,0
Maria,Palma de Mallorca,3794,66,M,Bachillerato,1,1
Pedro,Bilbao,2845,63,F,Maestría,1,0
Jose,Zaragoza,4170,18,F,Licenciatura,0,0
Laura,Zaragoza,1866,53,F,Licenciatura,1,0
Maria,Barcelona,1354,48,M,Bachillerato,1,0
Luis,Palma de Mallorca,4514,52,F,Licenciatura,0,0
Carlos,Valencia,2300,46,M,Maestría,0,0
Luis,Bilbao,2958,32,M,Doctorado,0,1
Ana,Bilbao,1506,61,F,Doctorado,0,1
Ana,Valencia,4804,47,M,Licenciatura,0,0
Elena,Sevilla,4634,24,M,Bachillerato,0,0
Maria,Bilbao,2442,43,F,Licenciatura,1,0
Juan,Sevilla,3151,50,M,Bachillerato,0,0
Elena,Las Palmas,1206,53,F,Doctorado,1,0
Pedro,Valencia,1494,37,F,Maestría,0,0
Ana,Bilbao,4499,22,M,Doctorado,0,0
Laura,Palma de Mallorca,2518,53,F,Bachillerato,0,0
Diego,Madrid,3592,31,F,Maestría,1,0
Luis,Granada,1320,54,F,Licenciatura,1,1
Luis,Madrid,3394,57,M,Bachillerato,1,0
Maria,Las Palmas,4194,55,F,Maestría,1,1
Carlos,Las Palmas,4545,38,F,Doctorado,1,1
Juan,Málaga,2142,51,M,Bachillerato,1,0
Ana,Málaga,1602,52,F,Doctorado,0,0
Maria,Málaga,2100,44,M,Bachillerato,0,1
Laura,Granada,1389,32,F,Bachillerato,1,1
Juan,Las Palmas,2724,57,F,Licenciatura,0,1
Laura,Bilbao,3687,50,F,Licenciatura,1,1
Luis,Palma de Mallorca,2147,29,F,Doctorado,0,1
Diego,Barcelona,3385,58,F,Bachillerato,0,0
Juan,Sevilla,3835,18,M,Licenciatura,1,1
Diego,Zaragoza,3106,32,M,Doctorado,1,1
Juan,Sevilla,4572,28,F,Doctorado,1,1
Jose,Las Palmas,4774,56,M,Bachillerato,0,1
Luis,Málaga,3619,50,M,Doctorado,0,0
Elena,Valencia,1539,32,M,Doctorado,1,0
Maria,Valencia,4091,53,M,Bachillerato,0,1
Maria,Málaga,4222,25,M,Doctorado,1,0
Juan,Málaga,4137,48,M,Licenciatura,1,0
Juan,Barcelona,1271,38,F,Doctorado,0,1
Diego,Barcelona,2274,28,M,Licenciatura,1,1
Juan,Málaga,3382,62,F,Maestría,1,0
Maria,Palma de Mallorca,1368,55,M,Maestría,0,1
Diego,Sevilla,4573,56,F,Licenciatura,0,1
Ana,Zaragoza,2249,57,M,Maestría,0,0
Carlos,Las Palmas,1011,43,F,Doctorado,0,0
Ana,Palma de Mallorca,3581,54,F,Doctorado,0,0
Carlos,Granada,3327,65,F,Maestría,0,1
Diego,Sevilla,3830,18,M,Maestría,1,1
Diego,Granada,2720,24,M,Doctorado,0,1
Pedro,Granada,4708,56,M,Bachillerato,0,1
Pedro,Sevilla,4996,64,F,Maestría,1,1
Ana,Valencia,4861,55,F,Bachillerato,0,1
Elena,Palma de Mallorca,2688,66,M,Maestría,0,1
Jose,Bilbao,4209,61,M,Maestría,1,0
Ana,Madrid,4805,47,F,Licenciatura,0,0
Elena,Palma de Mallorca,4099,21,F,Bachillerato,1,0
Diego,Granada,4027,37,F,Licenciatura,1,0
Ana,Palma de Mallorca,2676,27,M,Doctorado,1,0
Luis,Granada,3131,59,M,Maestría,1,1
Carlos,Granada,2433,43,M,Licenciatura,0,0
Elena,Bilbao,4157,43,F,Doctorado,1,0
Luis,Bilbao,2711,58,M,Maestría,0,1
Pedro,Málaga,3974,29,M,Licenciatura,1,0
Pedro,Palma de Mallorca,1423,57,M,Doctorado,0,0
Luis,Málaga,2492,53,F,Bachillerato,1,1
Juan,Palma de Mallorca,3200,41,F,Maestría,0,1
Diego,Bilbao,3595,47,F,Doctorado,0,0
Juan,Valencia,1780,58,M,Maestría,0,0
Jose,Zaragoza,2038,27,M,Maestría,0,0
Maria,Valencia,1716,39,M,Licenciatura,0,1
Ana,Málaga,4721,34,M,Bachillerato,1,0
Juan,Sevilla,3879,39,F,Doctorado,1,0
Maria,Las Palmas,2651,21,M,Doctorado,0,0
Juan,Bilbao,1717,64,F,Licenciatura,0,1
Maria,Valencia,1600,21,F,Bachillerato,1,0
Juan,Sevilla,2880,31,M,Bachillerato,0,1
Diego,Sevilla,2456,56,F,Bachillerato,1,1
Jose,Sevilla,3724,54,F,Doctorado,1,1
Ana,Valencia,3426,56,M,Doctorado,1,1
Elena,Las Palmas,1076,35,F,Maestría,1,0
Carlos,Madrid,3961,41,M,Doctorado,0,1
Laura,Sevilla,1070,66,M,Licenciatura,1,0
Laura,Barcelona,3291,42,M,Doctorado,1,1
Carlos,Zaragoza,1688,19,M,Doctorado,0,0
Laura,Bilbao,1884,58,F,Doctorado,0,0
Carlos,Valencia,2384,52,M,Licenciatura,1,0
Laura,Palma de Mallorca,1608,28,M,Doctorado,0,1
Elena,Málaga,1071,43,M,Licenciatura,1,0
Laura,Valencia,1430,20,F,Doctorado,0,0
Pedro,Granada,1634,50,F,Maestría,1,1
Maria,Palma de Mallorca,2074,24,M,Maestría,1,1
Pedro,Las Palmas,2679,22,M,Maestría,1,1
Carlos,Valencia,3074,67,F,Maestría,0,0
Luis,Barcelona,4471,20,M,Doctorado,0,0
Diego,Bilbao,1940,31,M,Licenciatura,0,0
Maria,Palma de Mallorca,1875,25,F,Maestría,1,0
Pedro,Madrid,3956,28,F,Bachillerato,1,0
Elena,Las Palmas,1155,34,F,Licenciatura,0,0
Carlos,Zaragoza,4710,68,F,Bachillerato,0,0
Laura,Zaragoza,4104,63,M,Maestría,1,0
Diego,Madrid,4709,37,F,Doctorado,0,1
Laura,Sevilla,1485,61,F,Maestría,1,0
Ana,Bilbao,4991,59,M,Licenciatura,0,0
Pedro,Valencia,4489,46,M,Bachillerato,0,0
Carlos,Bilbao,4312,68,M,Licenciatura,0,1
Carlos,Valencia,3170,46,M,Licenciatura,0,0
Juan,Palma de Mallorca,1312,24,F,Licenciatura,1,1
Luis,Sevilla,1274,55,F,Bachillerato,1,0
Elena,Las Palmas,2814,61,M,Doctorado,0,1
Carlos,Las Palmas,3401,39,M,Maestría,0,1
Ana,Bilbao,1437,39,M,Maestría,1,0
Laura,Barcelona,3395,69,M,Licenciatura,1,0
Laura,Las Palmas,4539,62,F,Licenciatura,0,0
Elena,Bilbao,4648,55,M,Bachillerato,0,1
Jose,Palma de Mallorca,1305,37,M,Maestría,0,1
Maria,Madrid,2562,45,F,Doctorado,1,0
Luis,Málaga,3322,57,F,Licenciatura,1,1
Elena,Madrid,3917,52,M,Maestría,0,0
Ana,Palma de Mallorca,2526,47,F,Maestría,1,1
Carlos,Málaga,4322,27,M,Bachillerato,1,0
Carlos,Sevilla,2572,26,M,Licenciatura,1,1
Maria,Granada,1306,22,M,Maestría,0,0
Laura,Palma de Mallorca,2551,52,M,Bachillerato,0,0
Ana,Las Palmas,4390,32,F,Maestría,0,0
Maria,Palma de Mallorca,4651,66,F,Licenciatura,0,0
Pedro,Madrid,2611,63,M,Licenciatura,1,1
Pedro,Barcelona,1500,24,F,Bachillerato,1,0
Laura,Madrid,4348,57,F,Doctorado,0,1
Juan,Valencia,1694,22,F,Maestría,1,1
Ana,Bilbao,3539,57,F,Licenciatura,1,0
Juan,Granada,4780,34,F,Bachillerato,0,0
Pedro,Bilbao,1358,31,M,Bachillerato,0,1
Diego,Barcelona,2185,63,F,Maestría,1,0
Carlos,Madrid,1898,44,M,Maestría,0,1
Maria,Valencia,4518,65,M,Doctorado,1,1
Laura,Madrid,3148,20,F,Licenciatura,1,1
Pedro,Granada,3445,26,F,Bachillerato,0,1
Diego,Málaga,2553,46,F,Doctorado,1,0
Diego,Bilbao,1923,34,M,Doctorado,1,1
Diego,Granada,1716,60,F,Bachillerato,0,0
Laura,Barcelona,1450,52,F,Maestría,0,0
Diego,Sevilla,4722,57,F,Licenciatura,1,0
Pedro,Zaragoza,2088,26,M,Bachillerato,0,0
Jose,Valencia,4917,31,F,Maestría,0,0
Diego,Zaragoza,3792,62,M,Licenciatura,1,1
Diego,Barcelona,2032,51,F,Bachillerato,1,1
Jose,Barcelona,2783,25,M,Doctorado,1,1
Pedro,Sevilla,2600,68,F,Bachillerato,1,0
Maria,Málaga,3248,35,M,Licenciatura,1,0
Ana,Valencia,4826,58,M,Licenciatura,0,1
Luis,Madrid,3701,29,F,Maestría,1,0
Ana,Sevilla,3370,55,F,Maestría,0,0
Juan,Málaga,1020,34,F,Maestría,1,0
Carlos,Sevilla,3957,19,F,Doctorado,1,0
Maria,Valencia,1079,56,M,Doctorado,1,1
Ana,Palma de Mallorca,4142,45,M,Licenciatura,1,0
Carlos,Sevilla,3375,44,M,Licenciatura,1,1
Juan,Madrid,2089,64,M,Doctorado,0,1
Juan,Palma de Mallorca,3437,50,M,Maestría,0,0
